oblékat	obliať,obliekať
nastávat	vstávať,nastať,nadávať,ostávať,nasávať
spekulovat	špekulovať,spytovať
pokazit	pokaziť
podívat	podrývať,podísť,podať,používať,pozvať
pojít	prísť,pobiť,piť,počuť,počať,poodísť,podať,pojať
vyrovnat	vyspať,vyrážať,vychovať,vyriecť,vysloviť,vyrobiť,vypiť,vyliať,vyjsť,vydať,vychovávať,vyznať,vyrábať,vyzváňať,vybrať,vyslovovať,vyslať,porovnať,vyrastať,vytvárať,vyhrať,vyraziť,vyrásť,vyhnať,vyrušiť,vyzuť,vyzvať
vykoupit	vytvoriť,vysloviť,vypiť,vyzrieť,skočiť,vymlieť,vykloniť,vložiť,využiť,vyjsť,vypustiť,vydať,vykročiť,vyskočiť,vykoreniť,skoliť,vykonať,vyfučať,vystúpiť,vytušiť,vyrušiť,vyzuť,vykonávať,vyzdobiť
figurovat	varovať,ignorovať,darovať
půlit	piť,vliať,mlieť,uliať,priať,kliať
zhodnotit	zhodnúť
skórovat	snívať,servírovať,chovať,spozorovať,sklopiť,sťahovať,skákať,striasť,skrachovať,sľubovať,sledovať,skypriť,okovať,súriť,smerovať,skloniť,spávať,stávať,spytovať,stavať,skryť,skúmať
sypat	stať,spať,stúpať
přibrzdit	pobrať
dozvonit	dohoniť
zabrzdit	zabrzdiť
opouštět	odísť,zapojiť,pršať,oženiť,opíjať,viať,obrať,otáľať,tešiť,vypúšťať,opáčiť,pobiť,zostávať,vryť,odpľuť,Balú,môcť,dostávať,obávať,postávať,odfotiť,pobrať,opierať,zohrať,vypnúť,odkryť,odhodlať,bolieť,dupotali,pousmiať,stáť,odložiť,loviť,ocitnúť,ozumieť,hodiť,opätovať,poslať,voliť,potkel,vojsť,dodať,užiť,vypočuť,meškať,oceniť,poliať,obžrať,postarať,otupovať,oľutovať,lúštiť,reptať,roztrhať,stať,odstúpiť,osloviť,tušiť,opantať,pokúšať,opraviť,obnoviť,dopočuť,počuť,jašil,odvolať,otvoriť,počať,trpieť,deptať,opičiť,modliť,ošetriť,pohnúť,zočiť,dupnúť,použiť,opakovať,zapnúť,obesiť,donášať,obetovať,odolať,očariť,roztopiť,voňať,ozvať,kupovať,rásť,postaviť,hnúť,odbiť,dojesť,zísť,dovtípiť,omotať,podísť,ovdovieť,umyť,objať,jesť,odviať,poučovať,povýšiť,zožrať,veštiť,opadnúť,odhodiť,poúčať,zobrať,končiť,zostať,roztočiť,učiť,ujsť,zbiť,postrčiť,opovrhovať,kopať,kryť,tkať,okovať,volať,roniť,zašuškať,obstáť,oprieť,oťažel,obliať,podať,ostať,diať,zoťať,oživiť,dostať,púšťať,spať,oboriť,poučiť,poznať,ohúriť,odlíšiť,používať,napnúť,udať,zostaviť,dojať,kašlať,hrať,hnať,opustiť,postáť,odkašlať,konať,opýtať,pojať,ovalil,pozvať,otočiť,pýšiť,zopnúť,obývať,rozísť,horieť,brať,bodnúť,odlomiť,potešiť,obložiť,vytušiť,šepkať,naštvať,vyrušiť,ovaliť,rozbiť,obuť,pásť,hojdať,zdať,opisovať,počkať,nosiť,dočkať,boriť,liať,ponášať,zapišťať,robiť,ozývať,porušiť,kopnúť,dbať,doliať,pomôcť,pokryť,postačiť,topiť
posílit	prísť,pookriať,pobiť,zaliať,Balú,popáliť,položiť,zlostiť,postávať,pobrať,potrpieť,bolieť,pousmiať,posilniť,túliť,prispieť,poslať,voliť,potkel,poliať,postarať,posedieť,vyliať,pokúsiť,poskočiť,pokladať,podpísať,prosíkať,počuť,pokrčiť,poraziť,usmiať,poraniť,počať,podeliť,potopiť,pohnúť,posadať,použiť,poštekliť,postaviť,deliť,valiť,potlačiť,podísť,páčiť,povýšiť,podlomiť,pobaviť,poúčať,ponoriť,postrčiť,naliať,poodísť,pokaziť,posunúť,obliať,pomrviť,podať,mýliť,poučiť,poznať,čeliť,povoliť,používať,plniť,pocítiť,postáť,pojať,usínať,poslúžiť,poradiť,pozvať,pýšiť,prospieť,posielať,potešiť,páliť,pásť,prosiť,posadiť,pohladiť,počkať,pohltiť,podariť,porušiť,posúvať,doliať,pomôcť,pokryť,postačiť
přizpůsobit	podrobiť,spôsobiť
přitáhnout	patriť,potkel,tiahnuť,prehnať,potiahnuť,premáhať,siahnuť,páchnuť
pokrývat	pokrývať
zaplavovat	zaplaviť
oběsit	obliať,obuť
zajistit	zajačať,zakrútiť,zažať,zaznieť,zavrieť,zistiť,zajasať,zažiť,znieť,mastiť,zavyť,zaprieť,zaťať,zletieť,zasmiať,pustiť,zaryť,zachytiť,zazrieť,zaplatiť,zničiť,zajať,začať,zrieť,zasvätiť,zabiť,zrútiť,zakliať,začuť
odhadnout	odhadnúť
rozetnout	rozpútať,rozísť,rozbiť
eliminovat	definovať,poletovať,žalovať,aplikovať,hodovať,vymenovať,posmievať,zriaďovať,existovať,varovať,korunovať,kefovať,tisnúť,kupovať,menovať,spievať,mieniť,oslovovať,asistovať,oblizovať,panovať,vlievať,schovať,miznúť,koordinovať,vylučovať,ohlasovať,milovať,sužovať,odlišovať,ďakovať,bojovať,oslavovať,vizitovať,darovať,zmieňovať,budovať,ubližovať,určovať,ľutovať,radovať,venovať,čudovať,kolovať,bičovať
registrovat	režírovať
přisoudit	posedieť,pôsobiť,posadiť
spatřovat	žalovať,zapaľovať,správať,spadať,varovať,spievať,panovať,zopakovať,schovať,sužovať,správa,ďakovať,darovať,splývať,radovať,naparovať
vát	viať,vryť,viezť,šiť,boj,piť,sa,kuť,vídať,stáť,vážiť,vypiť,báť,voliť,vojsť,vliať,voňať,vyjsť,klásť,vrčať,valiť,žiť,vydať,byť,dať,vzdať,volať,bál,jsť,vziať,čuť,variť,vrieť,vzísť,váhať,vítať,biť,vyzuť,vstať,mať,viesť,veriť,ísť
vyčkávat	vyčkávať
zamezit	zametať,zaliezť
hledět	ležať,tešiť,hladkať,šiť,boj,piť,kuť,želať,hodovať,hodiť,túliť,metať,báť,voliť,zblednúť,hádzať,túlať,oslepiť,hrbiť,sedávať,sedieť,hnúť,hltať,deliť,behať,valiť,žiť,byť,jesť,dať,hlásať,hádať,hrýzť,vedieť,volať,bál,bežať,záležať,jsť,hýriť,hriať,mýliť,čuť,vylepiť,čeliť,dediť,hrať,hnať,hrnúť,rezať,meniť,biť,páliť,hučať,mať,hlásiť,veriť,hýbať,ženiť,velebiť,ísť,merať,lepiť
očekávat	obávať,očervenať,odčerpávať,hrávať,očakávať,vyčkávať,odkázať,otesávať,nechávať,objednávať,okovať,spávať,plávať,brávať,bozkávať,stávať,obývať,okopávať,ozývať
zastat	zastať
informovat	informovať
vychutnávat	ochutnávať
plazit	poraziť,raziť,plakať,pokaziť,plniť,platiť,kaziť
sázet	snívať,bzučať,viať,otáľať,opáčiť,vryť,Balú,slziť,môcť,vnášať,šiť,boj,stačiť,piť,sa,obávať,utiecť,vliezť,kuť,zviesť,spadať,stáť,tváriť,smrdieť,ukázať,vzrásť,vliecť,zliezť,báť,skúsiť,užiť,skĺznuť,znieť,brániť,stať,hrávať,zriecť,zvážiť,pliesť,kráčať,skočiť,krákať,zháčil,skákať,urážať,slúžiť,sadnúť,vládať,sadať,sedieť,ozvať,zniesť,rásť,hnúť,klásť,dojesť,zísť,starať,mlieť,žiť,uznať,najesť,umyť,stínať,byť,jesť,dať,svrbieť,smieť,vzdať,hlásať,spoznať,stlmiť,znášať,učiť,trápiť,ujsť,zbiť,krájať,uháňať,strpieť,kryť,tkať,sŕkať,bál,silnieť,súriť,spĺňať,spávať,jsť,unášať,vrátiť,uniesť,diať,vziať,zrieť,spojiť,vláčiť,zháňať,plávať,brávať,spať,čuť,súdiť,skoliť,udať,správa,hrať,hnať,vrieť,splniť,vzísť,upiecť,stúpať,bdieť,schnúť,spýtať,stávať,stenať,čmárať,brať,stavať,snežiť,biť,smiať,obuť,pásť,zdať,skryť,mať,chápať,hlásiť,sľúbiť,cválať,liať,snoriť,snažiť,staviť,ozývať,slušať,uviesť,strčiť,ísť,stekať,spájať,dbať,skúmať
jevit	jesť,jsť
zaútočit	zaútočiť
vážit	vážiť
svolat	zavolať,odvolať,vyvolať,volať
uvidět	uvidieť,uviesť
ctít	sa,zísť
vyjevit	vyjsť
utéci	utiecť
ovdovět	ovdovieť
zažít	zažať,zažiť,zavyť,zaťať,zažínať,zaryť,zajať,začať,zaželať,zabiť,začuť
chválit	chváliť
zmrznout	zmraziť,zaznieť,vrznúť,zízať,zmôcť,zmeniť,zmrákať
zrušit	zrušiť
žadonit	odčiniť,usadiť,spadať,udrieť,zradiť,riadiť,žiadať,odolať,odbiť,odobriť,žartovať,odviať,zdobiť,roniť,skloniť,funieť,dohoniť,zbadať,udať,hľadať,plniť,meniť,ukloniť,zdať,živiť,ženiť
rozrůstat	rozrušiť,rozliať,rozosmiať,rozrývať,rozísť,rozrásť,rozostaviť,rozbiť
vstoupit	vstúpiť
zotavit	zotrieť,zbaviť,zotmieť,zastaviť,zjaviť,zostaviť,staviť
lekat	ležať,utekať,tkať,liať,stekať,lepiť
pořádat	počínať,pršať,priasť,pobiť,ponúkať,postávať,ovládať,pobrať,podujať,vídať,pomáhať,porúčať,porátať,počítať,poslať,potkel,dodať,poliať,pokúšať,počuť,počúvať,pochádzte,počať,pohnúť,posadať,použiť,požívať,sadať,písať,podísť,vydať,pohrávať,pohádať,povedať,popadať,vzdať,pozerať,padať,poúčať,pokývať,hádať,podrásť,poodísť,podať,plávať,prevládať,poučiť,poznať,potrvať,poskladať,pochádzať,postáť,pozývať,políhať,pojať,pýtať,pozvať,požičať,pobádať,polámať,priať,povrávať,podobať,poznávať,povstať,pásť,pousádzala,počkať,podávať,ponášať,popíjať,posúvať,pomôcť,pokryť
nasazovat	nadúvať,nasvedčovať,vykazovať,nafukovať,nastoliť,narušovať,nastať,nadávať,nasadnúť,načúvať,nazývať,naštartovať,zakazovať,naštvať,nasávať,navrhovať,naskočiť,naparovať
povolit	povoliť
vyhovět	vyhovovať,vyhodiť,vyhovieť
plnit	plniť
převyšovat	zvyšovať
naplnit	napiť,splniť
vniknout	vniknúť
mlčet	mlčať,mlieť,mať
vypočítávat	vypadávať
změřit	zažať,zmraziť,zaznieť,zotrieť,šiť,boj,piť,zavrieť,zmietať,kuť,báť,užiť,zmiznúť,zistiť,zažiť,znieť,zmieriť,zmocil,zvážiť,zovrieť,zavyť,zradiť,zháčil,vymlieť,zaprieť,zračiť,zaťať,zočiť,zbaviť,zveriť,zízať,zletieť,zrušiť,vliať,zhodiť,kŕmiť,zísť,zvoniť,zasmiať,mlieť,žiť,zvoliť,byť,zmôcť,dať,zúžiť,smieť,zdobiť,znížiť,zdesiť,zhorieť,zaryť,zotmieť,učiť,zazrieť,zbiť,zbaliť,uliať,zmeniť,zvaliť,zmocniť,bál,zvýšiť,zničiť,jsť,zajať,začať,zoťať,vziať,hriať,zrieť,zmeškať,zjaviť,zomrieť,čuť,zraziť,zmestiť,zmeravieť,vrieť,zlomiť,zmrákať,bdieť,zmiešať,priať,zmĺknuť,zjesť,biť,zabiť,zájsť,smiať,zrútiť,zdať,mať,kliať,zraniť,zakliať,zmiasť,zúriť,ísť,začuť,zježiť,zložiť
zeslabovat	oslňovať
zápolit	zvoliť
přivodit	pochodiť,prihodiť,riadiť,zhodiť,chodiť,podhodiť,povoliť,prehodiť,poškodiť,živiť
utratit	vryť,patriť,usadiť,určiť,pražiť,uľaviť,utiecť,uzdraviť,potrpieť,užiť,udrieť,hrabať,vytrpieť,uprieť,utekať,usmiať,zradiť,hrbiť,trpieť,zračiť,utopiť,uderiť,vraziť,vracať,vraždiť,mrzieť,natrafiť,utešiť,umyť,cítiť,učiť,ujsť,nútiť,uľahčiť,vrtieť,kryť,uzavrieť,hrmieť,rútiť,letieť,šetriť,zraziť,udať,stratiť,hrať,umrieť,utvrdiť,brať,uveriť,uraziť,zraniť
politizovat	poletovať,skritizovať
opětovat	opíjať,zľutovať,obávať,chovať,opätovať,otupovať,oľutovať,opantať,opakovať,obetovať,žartovať,orientovať,ubytovať,listovať,opovrhovať,okovať,ostať,imitovať,opustiť,opýtať,oslňovať,spytovať,obývať,opisovať,cestovať,ozývať,oživovať
uvalit	zaliať,Balú,vyvaliť,valiť,naliať,zavaliť,odvaliť
doceňovat	dovoľovať,dosahovať,dodávať,schovať,zmocňovať,zbožňovať,darovať,zmieňovať,umožňovať
odkazovat	ukazovať
vyhrávat	vyhrávať
přidělit	padať,podať
vypisovat	opisovať
rozloučit	rozlomiť,rozlúčiť
obhájit	obhájiť
zaváhat	zaváhať
dovolat	dovoliť,zvolať
ujmout	ujsť
couvnout	cúvať
vjíždět	viať,vryť,vážiť,zísť
potlačit	potlačiť
dořešit	dariť,tešiť,dohodiť,dusiť,doložiť,dodať,tušiť,doniesť,jašil,dovoliť,dopiecť,doliehať,dojesť,deliť,doplniť,doletieť,dopáliť,diať,dostať,dohoniť,dozvedať,dediť,dojať,pýšiť,dlžiť,potešiť,dočkať,dbať,doliať
